word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
defi,1720-1730,1760-1770,0.930025,0.069975,68,101,,0.012079,0.987921,,
pretent,1760-1770,1789-1802,0.928994,0.071006,57,53,,0.017813,0.982187,,
cene,1720-1730,1789-1802,0.928572,0.071428,171,205,,,,,
lens,1720-1730,1740-1750,0.927592,0.072408,138,160,,0.014666,0.985334,,
présents,1750-1760,1789-1802,0.927516,0.072484,260,462,,0.009225,0.990775,,
qu'à,1750-1760,1770-1780,0.927253,0.072747,16465,29240,,,,,
angloise,1710-1720,1780-1789,0.925608,0.074392,51,741,,0.029585,0.970415,,
remarquez,1710-1720,1720-1730,0.925504,0.074496,315,145,,,,,
moy,1700-1710,1789-1802,0.925254,0.074746,2219,222,,,,,
voyer,1700-1710,1710-1720,0.92525,0.07475,75,924,,0.043031,0.956969,,
rete,1730-1740,1750-1760,0.924917,0.075083,117,167,,0.014869,0.985131,,
traitre,1700-1710,1789-1802,0.92425,0.07575,124,289,,,,,
sant,1710-1720,1789-1802,0.923731,0.076269,54,781,,0.014219,0.985781,,
renfort,1710-1720,1760-1770,0.923615,0.076385,75,332,,0.024604,0.975396,,
nan,1720-1730,1740-1750,0.92359,0.07641,184,683,,0.033531,0.966469,,
voire,1730-1740,1789-1802,0.923505,0.076495,252,592,,0.028422,0.971578,,
gez,1710-1720,1770-1780,0.923108,0.076892,116,90,,,,,
poursuivant,1710-1720,1780-1789,0.923089,0.076911,96,278,,0.035513,0.964487,,
d'an,1710-1720,1750-1760,0.922787,0.077213,256,742,,,,,
d'où,1710-1720,1750-1760,0.922731,0.077269,3092,4764,,,,,
frai,1720-1730,1760-1770,0.922166,0.077834,76,408,,0.041139,0.958861,,
intérieurement,1710-1720,1770-1780,0.92208,0.07792,60,750,,0.039166,0.960834,,
d'ar,1780-1789,1789-1802,0.921842,0.078158,1361,949,,,,,
pons,1700-1710,1710-1720,0.921797,0.078203,119,107,,,,,
marcel,1710-1720,1789-1802,0.921663,0.078337,235,1094,,0.036201,0.963799,,
çois,1710-1720,1780-1789,0.921578,0.078422,69,605,,0.023172,0.976828,,
files,1740-1750,1780-1789,0.921075,0.078925,396,588,,0.031662,0.968338,,
trilles,1720-1730,1789-1802,0.920719,0.079281,84,83,,0.03147,0.96853,,
zircon,1730-1740,1740-1750,0.919822,0.080178,87,200,,0.009788,0.990212,,
sai,1710-1720,1740-1750,0.919639,0.080361,502,175,,,,,
sauf,1710-1720,1730-1740,0.919518,0.080482,57,113,,0.037779,0.962221,,
calice,1730-1740,1780-1789,0.919187,0.080813,341,2157,,0.166485,0.833515,,
laire,1740-1750,1789-1802,0.918982,0.081018,154,629,,0.008602,0.991398,,
mainte,1710-1720,1770-1780,0.918322,0.081678,86,188,,0.029905,0.970095,,
foire,1740-1750,1780-1789,0.917237,0.082763,1099,1478,,0.013673,0.986327,,
unifie,1740-1750,1789-1802,0.917226,0.082774,193,335,,0.014237,0.985763,,
m'imagine,1720-1730,1789-1802,0.917,0.083,94,68,,,,,
emp,1740-1750,1760-1770,0.916947,0.083053,156,914,,0.01373,0.98627,,
berry,1710-1720,1730-1740,0.915745,0.084255,953,1102,,0.21057,0.78943,,
enco,1730-1740,1789-1802,0.91566,0.08434,204,160,,0.011886,0.988114,,
amé,1710-1720,1789-1802,0.915626,0.084374,281,258,,0.103875,0.896125,,
ramasser,1700-1710,1740-1750,0.915486,0.084514,72,135,,0.010188,0.989812,,
revenons,1710-1720,1750-1760,0.915345,0.084655,128,267,,0.02119,0.97881,,
comi,1710-1720,1750-1760,0.914316,0.085684,55,463,,0.009423,0.990577,,
marquant,1700-1710,1720-1730,0.913716,0.086284,76,75,,,,,
puissamment,1700-1710,1760-1770,0.913352,0.086648,52,170,,0.063098,0.936902,,
feaux,1710-1720,1720-1730,0.91323,0.08677,790,410,,,,,
sau,1710-1720,1780-1789,0.913139,0.086861,50,250,,0.012316,0.987684,,
observez,1700-1710,1789-1802,0.912345,0.087655,149,416,,,,,
mante,1720-1730,1750-1760,0.912274,0.087726,94,95,,0.025495,0.974505,,
surquoi,1760-1770,1780-1789,0.910504,0.089496,101,56,,,,,
