word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
vivons,1750-1760,1770-1780,0.557415,0.442585,257,476,
l'eglise,1720-1730,1730-1740,0.557058,0.442942,3524,3539,
faisois,1720-1730,1760-1770,0.55698,0.44302,224,433,
evangile,1730-1740,1740-1750,0.556958,0.443042,184,116,
s'arrêta,1710-1720,1770-1780,0.556712,0.443288,60,271,
croye,1730-1740,1789-1802,0.556699,0.443301,114,105,
contenterai,1760-1770,1789-1802,0.556429,0.443571,258,263,
satisfaite,1720-1730,1730-1740,0.555881,0.444119,61,189,
désire,1710-1720,1780-1789,0.555871,0.444129,86,659,
prédicateurs,1710-1720,1740-1750,0.555637,0.444363,84,99,
laver,1710-1720,1750-1760,0.555332,0.444668,271,342,
entrerent,1750-1760,1770-1780,0.554912,0.445088,106,160,
appella,1710-1720,1730-1740,0.55477,0.44523,102,246,
marchas,1710-1720,1760-1770,0.554015,0.445985,399,1003,
m'étant,1710-1720,1720-1730,0.55387,0.44613,60,79,
achetée,1730-1740,1750-1760,0.553674,0.446326,66,146,
causoit,1760-1770,1789-1802,0.553629,0.446371,152,177,
l'estomac,1750-1760,1760-1770,0.553453,0.446547,311,674,
lèvres,1720-1730,1730-1740,0.552342,0.447658,53,71,
approché,1710-1720,1750-1760,0.55234,0.44766,70,135,
iceux,1770-1780,1789-1802,0.552293,0.447707,196,94,
fortent,1720-1730,1740-1750,0.552293,0.447707,112,119,
demeureront,1710-1720,1770-1780,0.55222,0.44778,399,245,
enfoncé,1710-1720,1720-1730,0.552182,0.447818,60,74,
genes,1740-1750,1789-1802,0.551839,0.448161,184,107,
j'appris,1700-1710,1720-1730,0.551699,0.448301,62,104,
aimait,1740-1750,1770-1780,0.551612,0.448388,61,296,
laisseroit,1710-1720,1740-1750,0.551362,0.448638,74,127,
vendue,1710-1720,1720-1730,0.551308,0.448692,202,108,
chemise,1710-1720,1730-1740,0.550421,0.449579,110,239,
témoigna,1720-1730,1740-1750,0.550333,0.449667,151,424,
avisé,1710-1720,1740-1750,0.550112,0.449888,150,93,
d'impatience,1710-1720,1789-1802,0.5497,0.4503,87,206,
pâques,1740-1750,1750-1760,0.549645,0.450355,148,171,
donnait,1710-1720,1770-1780,0.549541,0.450459,439,622,
j'aimerois,1720-1730,1770-1780,0.549346,0.450654,59,296,
suffira,1700-1710,1710-1720,0.548992,0.451008,96,132,
intendans,1720-1730,1789-1802,0.548795,0.451205,379,496,
fauteuil,1760-1770,1770-1780,0.548666,0.451334,297,374,
tuteurs,1720-1730,1770-1780,0.548488,0.451512,90,372,
paraissait,1700-1710,1720-1730,0.548372,0.451628,66,85,
porc,1700-1710,1750-1760,0.548087,0.451913,141,342,
cherchez,1720-1730,1770-1780,0.547963,0.452037,131,542,
demandait,1720-1730,1740-1750,0.547778,0.452222,70,58,
l'ennemi,1720-1730,1780-1789,0.547507,0.452493,1819,4789,
parlait,1700-1710,1740-1750,0.547358,0.452642,102,83,
docteurs,1720-1730,1740-1750,0.547342,0.452658,233,243,
prendroit,1710-1720,1740-1750,0.547284,0.452716,170,540,
féjour,1700-1710,1710-1720,0.547145,0.452855,85,84,
commencèrent,1740-1750,1750-1760,0.547044,0.452956,116,174,
manqueront,1710-1720,1720-1730,0.546705,0.453295,57,70,
compagnes,1720-1730,1760-1770,0.546459,0.453541,103,352,
lentulus,1700-1710,1710-1720,0.54617,0.45383,245,58,
souhaitoit,1710-1720,1770-1780,0.546121,0.453879,73,182,
marcellus,1740-1750,1770-1780,0.545414,0.454586,220,897,
croupe,1710-1720,1760-1770,0.5453,0.4547,72,140,
c'efl,1750-1760,1760-1770,0.545153,0.454847,910,1088,
plaisoit,1700-1710,1710-1720,0.54417,0.45583,157,151,
craignit,1710-1720,1720-1730,0.544004,0.455996,83,98,
devra,1700-1710,1770-1780,0.543998,0.456002,81,547,
profitent,1710-1720,1780-1789,0.543851,0.456149,88,297,
m'ayant,1710-1720,1720-1730,0.543774,0.456226,86,138,
commentateurs,1700-1710,1789-1802,0.543543,0.456457,228,135,
descendit,1710-1720,1780-1789,0.54353,0.45647,109,635,
théologiens,1720-1730,1750-1760,0.543082,0.456918,172,655,
d'amitié,1740-1750,1770-1780,0.542631,0.457369,659,644,
barque,1710-1720,1760-1770,0.542558,0.457442,157,468,
traitent,1710-1720,1750-1760,0.542476,0.457524,154,389,
mercredi,1750-1760,1770-1780,0.541898,0.458102,451,1509,
quittent,1720-1730,1770-1780,0.541644,0.458356,125,413,
foyez,1710-1720,1720-1730,0.541381,0.458619,212,161,
connaît,1750-1760,1789-1802,0.540991,0.459009,293,1045,
l'obligea,1710-1720,1760-1770,0.540659,0.459341,83,145,
oncles,1720-1730,1789-1802,0.540597,0.459403,104,169,
statuts,1710-1720,1760-1770,0.54049,0.45951,1245,1305,
tarda,1700-1710,1720-1730,0.539998,0.460002,68,92,
m'étois,1710-1720,1770-1780,0.53962,0.46038,72,497,
cherchons,1730-1740,1770-1780,0.539008,0.460992,187,465,
colere,1700-1710,1710-1720,0.539003,0.460997,716,909,
manquera,1710-1720,1789-1802,0.538891,0.461109,190,441,
d'avril,1770-1780,1789-1802,0.536555,0.463445,1231,914,
n'être,1740-1750,1750-1760,0.536194,0.463806,1023,1470,
serviront,1700-1710,1730-1740,0.535325,0.464675,93,146,
habillement,1750-1760,1789-1802,0.534352,0.465648,172,335,
achetées,1710-1720,1770-1780,0.534097,0.465903,98,172,
n'ignoroit,1700-1710,1710-1720,0.533067,0.466933,50,50,
façons,1710-1720,1789-1802,0.532595,0.467405,286,319,
aima,1710-1720,1770-1780,0.532532,0.467468,118,490,
supplier,1740-1750,1760-1770,0.531996,0.468004,218,213,
rendis,1750-1760,1780-1789,0.531799,0.468201,169,461,
mères,1700-1710,1750-1760,0.53169,0.46831,55,297,
espéces,1700-1710,1720-1730,0.531238,0.468762,87,92,
prenait,1740-1750,1760-1770,0.531196,0.468804,70,159,
laissai,1700-1710,1720-1730,0.530946,0.469054,69,74,
scélérat,1700-1710,1730-1740,0.530855,0.469145,61,163,
courts,1720-1730,1730-1740,0.530297,0.469703,204,166,
suffisoit,1700-1710,1710-1720,0.530294,0.469706,83,81,
dises,1710-1720,1760-1770,0.530111,0.469889,197,755,
n'as,1700-1710,1770-1780,0.529968,0.470032,155,562,
dimanches,1730-1740,1789-1802,0.529847,0.470153,96,284,
rapportées,1730-1740,1760-1770,0.529752,0.470248,151,473,
jeta,1720-1730,1750-1760,0.529452,0.470548,93,128,
verras,1720-1730,1789-1802,0.529194,0.470806,65,302,
intestins,1730-1740,1760-1770,0.528971,0.471029,59,534,
incident,1740-1750,1760-1770,0.528736,0.471264,217,173,
n'osent,1730-1740,1789-1802,0.528287,0.471713,69,197,
m'as,1710-1720,1720-1730,0.528101,0.471899,276,179,
excellentes,1720-1730,1740-1750,0.526892,0.473108,137,174,
marcha,1710-1720,1750-1760,0.526663,0.473337,128,379,
mouchoir,1730-1740,1750-1760,0.526253,0.473747,60,205,
irons,1780-1789,1789-1802,0.525979,0.474021,326,288,
chargent,1700-1710,1730-1740,0.525959,0.474041,80,107,
l'avois,1710-1720,1720-1730,0.525957,0.474043,118,142,
mena,1730-1740,1789-1802,0.525654,0.474346,522,506,
enchanté,1700-1710,1710-1720,0.525278,0.474722,115,77,
d'aucun,1720-1730,1750-1760,0.524864,0.475136,508,780,
indigné,1740-1750,1789-1802,0.524767,0.475233,119,498,
perfections,1710-1720,1780-1789,0.524313,0.475687,127,233,
d'épaisseur,1720-1730,1770-1780,0.523905,0.476095,124,1061,
jetterent,1770-1780,1789-1802,0.523786,0.476214,138,72,
jugeons,1740-1750,1789-1802,0.523497,0.476503,101,158,
sassent,1700-1710,1730-1740,0.523394,0.476606,68,124,
l'eut,1710-1720,1740-1750,0.522614,0.477386,132,309,
s'accordent,1710-1720,1789-1802,0.522562,0.477438,148,510,
laissée,1710-1720,1720-1730,0.521749,0.478251,130,78,
s'imaginer,1710-1720,1760-1770,0.521712,0.478288,203,300,
arriverent,1710-1720,1770-1780,0.521468,0.478532,68,162,
j'aie,1700-1710,1710-1720,0.521302,0.478698,146,150,
n'aura,1750-1760,1789-1802,0.520856,0.479144,952,2253,
d'angleterre,1720-1730,1770-1780,0.520782,0.479218,1610,3796,
sentons,1760-1770,1789-1802,0.520514,0.479486,208,224,
rubis,1710-1720,1770-1780,0.520208,0.479792,65,533,
partirent,1720-1730,1740-1750,0.519907,0.480093,115,362,
camarade,1750-1760,1780-1789,0.519,0.481,125,454,
fevrier,1780-1789,1789-1802,0.518948,0.481052,430,362,
lieutenants,1730-1740,1750-1760,0.518144,0.481856,128,65,
n'osa,1720-1730,1789-1802,0.517752,0.482248,66,271,
cadette,1720-1730,1750-1760,0.517215,0.482785,66,174,
imaginez,1760-1770,1780-1789,0.516744,0.483256,226,361,
fumée,1740-1750,1750-1760,0.516497,0.483503,599,611,
retirent,1750-1760,1789-1802,0.51641,0.48359,309,524,
voyent,1780-1789,1789-1802,0.516231,0.483769,708,423,
n'aye,1720-1730,1770-1780,0.516108,0.483892,54,102,
vulcain,1710-1720,1780-1789,0.515265,0.484735,312,706,
idoles,1720-1730,1780-1789,0.515245,0.484755,301,247,
ferais,1710-1720,1740-1750,0.514693,0.485307,116,50,
egard,1700-1710,1720-1730,0.514585,0.485415,58,99,
déclarons,1710-1720,1789-1802,0.514085,0.485915,272,160,
quarre,1730-1740,1740-1750,0.513612,0.486388,161,737,
douta,1710-1720,1780-1789,0.513512,0.486488,110,275,
sucs,1740-1750,1780-1789,0.513368,0.486632,538,412,
trouvât,1750-1760,1760-1770,0.512759,0.487241,307,301,
manda,1720-1730,1760-1770,0.512015,0.487985,179,312,
plaisent,1700-1710,1740-1750,0.512011,0.487989,135,219,
saurais,1710-1720,1740-1750,0.511875,0.488125,67,62,
enfermée,1720-1730,1740-1750,0.51074,0.48926,79,97,
j'allois,1700-1710,1720-1730,0.51,0.49,73,94,
épouvantable,1700-1710,1720-1730,0.509913,0.490087,82,93,
commencerent,1730-1740,1789-1802,0.50925,0.49075,240,168,
t'es,1700-1710,1720-1730,0.509131,0.490869,57,56,
ruisseaux,1700-1710,1730-1740,0.508281,0.491719,84,141,
assise,1720-1730,1770-1780,0.508168,0.491832,86,268,
passerent,1710-1720,1789-1802,0.508116,0.491884,77,115,
paroissoient,1710-1720,1750-1760,0.507595,0.492405,112,404,
