word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
c'efl,1710-1720,1760-1770,0.50927,0.49073,223,1088,,,,,
pressa,1770-1780,1789-1802,0.508765,0.491235,206,404,,,,,
aisée,1720-1730,1789-1802,0.507998,0.492002,287,430,,0.01708,0.98292,,
plaisent,1700-1710,1740-1750,0.507903,0.492097,135,219,,,,,
sortirent,1750-1760,1770-1780,0.507148,0.492852,149,264,,,,,
tuteurs,1720-1730,1750-1760,0.507015,0.492985,90,354,,,,,
l'envoya,1700-1710,1730-1740,0.507005,0.492995,70,87,,,,,
cherchoient,1700-1710,1740-1750,0.506494,0.493506,71,264,,0.041138,0.958862,,
s'imaginer,1710-1720,1789-1802,0.506033,0.493967,203,179,,,,,
ferais,1710-1720,1740-1750,0.505638,0.494362,116,50,,0.034404,0.965596,,
façons,1780-1789,1789-1802,0.505485,0.494515,400,319,,,,,
conduisoit,1700-1710,1720-1730,0.505088,0.494912,94,174,,0.025455,0.974545,,
chemise,1710-1720,1770-1780,0.505061,0.494939,110,365,,,,,
pcut,1730-1740,1740-1750,0.504373,0.495627,121,188,,,,,
sucs,1740-1750,1789-1802,0.504043,0.495957,538,323,,0.028778,0.971222,,
doutoit,1710-1720,1720-1730,0.50399,0.49601,60,88,,,,,
sentons,1780-1789,1789-1802,0.502341,0.497659,243,224,,,,,
flottes,1700-1710,1760-1770,0.502072,0.497928,89,507,,0.029237,0.970763,,
appella,1710-1720,1740-1750,0.501959,0.498041,102,242,,,,,
martyrs,1720-1730,1789-1802,0.501069,0.498931,176,506,,,,,
s'accordent,1710-1720,1730-1740,0.50097,0.49903,148,186,,,,,
manquera,1710-1720,1760-1770,0.500528,0.499472,190,377,,,,,
cherchez,1720-1730,1789-1802,0.500024,0.499976,131,508,,,,,
employent,1700-1710,1710-1720,0.49993,0.50007,54,195,,0.016478,0.983522,,
j'aye,1710-1720,1770-1780,0.499879,0.500121,132,182,,,,,
fumée,1740-1750,1780-1789,0.499717,0.500283,599,1622,,,,,
demoiselles,1720-1730,1740-1750,0.498961,0.501039,50,160,,0.020989,0.979011,,
perdirent,1730-1740,1760-1770,0.498952,0.501048,372,229,,,,,
connaît,1750-1760,1789-1802,0.49871,0.50129,293,1045,,0.010043,0.989957,,
croyais,1700-1710,1760-1770,0.498515,0.501485,64,169,,0.03196,0.96804,,
indigné,1740-1750,1750-1760,0.498327,0.501673,119,223,,,,,
qu'aucune,1740-1750,1770-1780,0.497887,0.502113,328,944,,,,,
aima,1750-1760,1760-1770,0.497582,0.502418,337,280,,,,,
n'as,1700-1710,1710-1720,0.497512,0.502488,155,374,,,,,
rencontra,1740-1750,1750-1760,0.497467,0.502533,477,188,,,,,
tuent,1750-1760,1789-1802,0.496887,0.503113,135,225,,0.015051,0.984949,,
mena,1730-1740,1789-1802,0.496867,0.503133,522,506,,,,,
n'osait,1710-1720,1780-1789,0.496793,0.503207,141,369,,,,,
excellentes,1720-1730,1740-1750,0.496744,0.503256,137,174,,,,,
passerent,1750-1760,1760-1770,0.496543,0.503457,171,188,,0.014171,0.985829,,
ayant,1710-1720,1720-1730,0.496503,0.503497,6698,8639,,0.01501,0.98499,,
incident,1700-1710,1760-1770,0.496183,0.503817,74,173,,,,,
d'angleterre,1720-1730,1740-1750,0.495974,0.504026,1610,3670,,,,,
supplier,1710-1720,1789-1802,0.495817,0.504183,140,371,,0.032979,0.967021,,
diametre,1770-1780,1789-1802,0.494797,0.505203,2202,89,,0.061761,0.938239,,
cadette,1720-1730,1740-1750,0.494454,0.505546,66,81,,,,,
sixieme,1720-1730,1770-1780,0.494352,0.505648,102,1007,,0.05064,0.94936,,
osez,1710-1720,1789-1802,0.493928,0.506072,92,374,,0.025674,0.974326,,
supplie,1710-1720,1720-1730,0.493403,0.506597,177,150,,,,,
demeura,1730-1740,1789-1802,0.49329,0.50671,755,376,,,,,
quarre,1770-1780,1789-1802,0.493099,0.506901,432,309,,0.024797,0.975203,,
parlait,1720-1730,1730-1740,0.492796,0.507204,92,201,,,,,
irons,1710-1720,1789-1802,0.492589,0.507411,55,288,,,,,
lèvres,1720-1730,1730-1740,0.491986,0.508014,53,71,,0.027285,0.972715,,
commencerent,1710-1720,1789-1802,0.491114,0.508886,133,168,,0.02024,0.97976,,
détermina,1710-1720,1750-1760,0.49099,0.50901,93,336,,0.023876,0.976124,,
