period,genre_brut,macro_genre,filename,title,author,n_words,output_path
1720-1730,Économie,Économie,modern_tgb_6534797.tei,,"Froland, Louis (1656-1746)",96980,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Économie/modern_tgb_6534797.txt
1720-1730,Belles-Lettres,Belles-Lettres,modern_tgb_6565024.tei,,Pierre de Bourdeille seigneur de Brantôme (1540?-1614),79896,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Belles-Lettres/modern_tgb_6565024.txt
1720-1730,Histoire,Histoire,modern_tgb_6567220.tei,,Claude-Marin Saugrain (1679-1750),83952,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Histoire/modern_tgb_6567220.txt
1720-1730,Pastorale,Théâtre,modern_theatre18_clean_aigueberre_panetdoris_clean.tei,,Jean Dumas d' Aigueberre (1692-1755),2027,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_aigueberre_panetdoris_clean.txt
1720-1730,Comédie,Théâtre,modern_theatre18_clean_aigueberre_polixene_clean.tei,,Jean Dumas d' Aigueberre (1692-1755),3584,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_aigueberre_polixene_clean.txt
1720-1730,Prologue,Théâtre,modern_theatre18_clean_aigueberre_prologue_clean.tei,,Jean Dumas d' Aigueberre (1692-1755),1924,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_aigueberre_prologue_clean.txt
1720-1730,Théâtre,Théâtre,modern_theatre18_clean_allainval_ecoledesbourgeois_clean.tei,,Léonor-Jean-Christine Soulas d' Allainval (1700?-1753),13463,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_allainval_ecoledesbourgeois_clean.txt
1720-1730,Prologue,Théâtre,modern_theatre18_clean_biancolelli-riccoboni-romagnesi_comediensesclaves_clean.tei,,Pierre-François Biancolelli (1680-1734),1595,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_biancolelli-riccoboni-romagnesi_comediensesclaves_clean.txt
1720-1730,Théâtre,Théâtre,modern_theatre18_clean_biancollelli_agnesdechaillot_clean.tei,,Pierre-François Biancolelli (1680-1734),5661,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_biancollelli_agnesdechaillot_clean.txt
1720-1730,Théâtre,Théâtre,modern_theatre18_clean_biancollelliromagnesi_arcagambis_clean.tei,,Antoine Romagnesi (1781-1850),3512,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_biancollelliromagnesi_arcagambis_clean.txt
1720-1730,Théâtre,Théâtre,modern_theatre18_clean_boissy_francaisalondres_clean.tei,,Louis de Boissy (1694-1758),8916,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1720-1730/Théâtre/modern_theatre18_clean_boissy_francaisalondres_clean.txt
