word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
jardins,1700-1710,1720-1730,807,514,5696,0.0773,0.3647,0.5358
menace,1720-1730,1789-1802,261,1650,5701,0.0771,0.0777,0.0382
jugemens,1720-1730,1760-1770,631,1296,5691,0.0769,0.7913,0.3919
bienfaits,1700-1710,1770-1780,296,3030,5700,0.0769,0.3721,0.2362
combat,1710-1720,1730-1740,1310,4294,5714,0.0767,0.5192,0.2462
doucement,1710-1720,1789-1802,670,1080,5699,0.0766,0.1898,0.3099
violente,1720-1730,1789-1802,296,1219,5706,0.0764,0.4906,0.4353
paix,1710-1720,1789-1802,3559,20244,5715,0.0762,0.594,0.4096
envers,1720-1730,1789-1802,1230,6569,5705,0.0762,0.3599,0.6387
arracher,1700-1710,1720-1730,238,199,5710,0.076,0.1791,0.4689
fureurs,1720-1730,1789-1802,187,1320,5696,0.0757,0.7292,0.7512
dogmes,1710-1720,1760-1770,126,790,5660,0.0755,0.6969,0.3974
sommeil,1720-1730,1780-1789,312,2772,5705,0.0755,0.353,0.1327
travail,1720-1730,1789-1802,2029,13148,5718,0.0754,0.2124,0.2803
vivacité,1700-1710,1760-1770,224,1373,5706,0.0752,0.3634,0.3259
dessus,1710-1720,1789-1802,7322,14248,5719,0.0751,0.8164,0.9038
paraître,1700-1710,1750-1760,224,441,5685,0.0748,0.2803,0.3575
tombeau,1720-1730,1789-1802,660,2255,5704,0.0748,0.6917,0.6282
morceaux,1700-1710,1780-1789,366,2472,5702,0.0746,0.8337,0.9329
biens,1710-1720,1789-1802,3745,19359,5710,0.0745,0.8608,0.8259
autrefois,1720-1730,1730-1740,2586,2594,5710,0.0745,0.2499,0.2903
plaire,1700-1710,1750-1760,883,2649,5712,0.0744,0.6011,0.3083
fondées,1700-1710,1789-1802,129,995,5692,0.0743,0.8416,0.6617
démarches,1720-1730,1789-1802,200,1330,5695,0.074,0.4547,0.4602
nul,1710-1720,1770-1780,1553,3417,5707,0.0739,0.32,0.4411
faits,1700-1710,1789-1802,2681,13606,5718,0.0738,0.6255,0.831
longues,1700-1710,1780-1789,567,3451,5706,0.0738,0.9032,0.5991
condamné,1710-1720,1789-1802,907,2024,5706,0.0734,0.7414,0.6558
volumes,1730-1740,1760-1770,768,891,5703,0.0734,0.3642,0.6352
cesse,1700-1710,1789-1802,635,7927,5713,0.0733,0.6632,0.6416
couper,1700-1710,1740-1750,745,1352,5697,0.0731,0.5676,0.5439
nord,1740-1750,1750-1760,9356,3238,5702,0.073,0.9171,0.9191
raisonnemens,1700-1710,1770-1780,129,855,5682,0.0727,0.8887,0.381
passions,1700-1710,1789-1802,650,5363,5709,0.0724,0.7508,0.608
pouvions,1730-1740,1740-1750,183,283,5638,0.0724,0.532,0.4769
ordinairement,1700-1710,1789-1802,1838,3722,5713,0.0723,0.8323,0.3321
soleil,1730-1740,1740-1750,3751,4251,5715,0.0722,0.583,0.6775
huile,1730-1740,1760-1770,545,1180,5695,0.072,0.3764,0.4602
maladies,1700-1710,1730-1740,1000,872,5699,0.0717,0.6362,0.6256
douceur,1710-1720,1730-1740,882,1981,5709,0.0715,0.5017,0.0566
témoignage,1720-1730,1740-1750,602,1737,5708,0.0713,0.2544,0.1526
passion,1700-1710,1789-1802,1085,3427,5711,0.0713,0.3853,0.2419
racines,1740-1750,1750-1760,865,2369,5688,0.0712,0.8063,0.4902
créanciers,1710-1720,1789-1802,965,4301,5680,0.0711,0.8805,0.6535
cérémonie,1710-1720,1740-1750,387,1227,5695,0.071,0.2324,0.257
mouvement,1720-1730,1789-1802,2177,7421,5714,0.0706,0.6961,0.3541
place,1730-1740,1760-1770,9696,14301,5720,0.0706,0.3575,0.5055
couleurs,1720-1730,1789-1802,1258,2494,5713,0.0705,0.75,0.6119
adore,1720-1730,1730-1740,145,293,5679,0.0704,0.3221,0.2334
particuliers,1710-1720,1789-1802,2923,7762,5714,0.0701,0.4078,0.6373
diminue,1710-1720,1770-1780,214,1592,5696,0.07,0.6704,0.1764
questions,1700-1710,1789-1802,333,2883,5705,0.0699,0.5126,0.637
mange,1710-1720,1730-1740,725,274,5680,0.0695,0.3505,0.5448
outre,1710-1720,1789-1802,3701,6291,5714,0.0694,0.1267,0.7931
différentes,1710-1720,1760-1770,805,12807,5718,0.0692,0.7156,0.4564
compte,1710-1720,1770-1780,4263,10822,5717,0.0692,0.3851,0.4031
saison,1730-1740,1789-1802,307,1517,5680,0.0691,0.7756,0.3573
eau,1730-1740,1740-1750,1864,1845,5715,0.0688,0.4046,0.6062
tôt,1740-1750,1789-1802,6520,5012,5712,0.0688,0.6492,0.6925
royaume,1730-1740,1789-1802,7292,16416,5712,0.0685,0.7263,0.8099
magistrats,1700-1710,1789-1802,377,3444,5696,0.0684,0.6254,0.6113
cft,1720-1730,1750-1760,3439,1294,5694,0.0683,0.8479,0.905
doctrine,1720-1730,1760-1770,587,1256,5698,0.0681,0.6344,0.5786
trous,1710-1720,1760-1770,337,2090,5659,0.0679,0.8581,0.5687
crimes,1710-1720,1789-1802,799,7338,5707,0.0678,0.6806,0.4313
pouvoient,1710-1720,1720-1730,1183,1873,5706,0.0677,0.9378,0.5283
cultiver,1700-1710,1770-1780,233,2148,5694,0.0676,0.5666,0.4577
rendez,1710-1720,1740-1750,511,828,5698,0.0674,0.0602,0.1836
combats,1700-1710,1750-1760,300,1346,5703,0.0673,0.1251,0.1279
lauriers,1720-1730,1780-1789,120,763,5676,0.0671,0.8058,0.3111
troupe,1710-1720,1789-1802,690,3159,5700,0.0668,0.5085,0.4666
couché,1720-1730,1789-1802,273,581,5688,0.0667,0.3805,0.5699
dépend,1710-1720,1789-1802,793,2456,5711,0.0666,0.4,0.5535
témoigner,1710-1720,1789-1802,274,851,5696,0.0665,0.5106,0.3625
mêlé,1700-1710,1740-1750,253,483,5703,0.0664,0.6841,0.6636
ressemble,1700-1710,1740-1750,157,983,5697,0.0663,0.5641,0.7474
billet,1730-1740,1760-1770,887,1681,5689,0.0662,0.1441,0.0989
mauvais,1720-1730,1789-1802,3006,7327,5715,0.0661,0.5248,0.1939
secours,1740-1750,1789-1802,6018,11900,5716,0.066,0.6888,0.4938
écrites,1700-1710,1710-1720,197,193,5692,0.0659,0.6663,0.5806
facilement,1730-1740,1760-1770,1027,2796,5711,0.0658,0.4442,0.1887
résister,1720-1730,1789-1802,368,1585,5698,0.0657,0.8278,0.6419
partagé,1720-1730,1789-1802,286,909,5692,0.0656,0.3839,0.4534
chemin,1710-1720,1720-1730,2764,3303,5714,0.0653,0.2921,0.1243
vite,1720-1730,1789-1802,582,1784,5698,0.0653,0.5427,0.4322
autels,1710-1720,1789-1802,412,1722,5693,0.065,0.888,0.4861
conformes,1720-1730,1780-1789,250,804,5695,0.065,0.6505,0.7504
sensible,1710-1720,1789-1802,963,5620,5714,0.0649,0.4652,0.7449
lettre,1710-1720,1780-1789,5520,27057,5719,0.0646,0.8628,0.8527
vainqueur,1710-1720,1789-1802,401,1678,5701,0.0645,0.0801,0.1636
reproches,1700-1710,1789-1802,337,2051,5706,0.0644,0.7502,0.1265
éternité,1720-1730,1770-1780,71,272,5649,0.0643,0.8297,0.3943
légumes,1710-1720,1780-1789,319,982,5670,0.0643,0.6314,0.4765
successeurs,1710-1720,1789-1802,510,908,5677,0.0642,0.9336,0.8728
jugement,1720-1730,1789-1802,1660,6999,5714,0.0637,0.5631,0.5288
humble,1720-1730,1789-1802,290,938,5697,0.0636,0.5457,0.587
riches,1710-1720,1789-1802,914,5155,5709,0.0636,0.4317,0.1821
brave,1720-1730,1789-1802,528,2122,5703,0.0633,0.4248,0.2741
sentimens,1720-1730,1789-1802,1317,5762,5704,0.0632,0.8394,0.5354
établies,1720-1730,1789-1802,389,1811,5695,0.0631,0.3662,0.4924
sentiments,1710-1720,1789-1802,568,1491,5675,0.063,0.7071,0.6903
conquêtes,1700-1710,1789-1802,187,1490,5689,0.0629,0.7475,0.4628
excellent,1710-1720,1740-1750,715,955,5712,0.0628,0.338,0.1958
malade,1720-1730,1789-1802,1040,2722,5713,0.0625,0.6319,0.6012
craindre,1700-1710,1789-1802,1370,6132,5713,0.0625,0.4173,0.6094
feuilles,1730-1740,1780-1789,950,8926,5705,0.0624,0.98,0.6836
oui,1720-1730,1730-1740,2284,4217,5713,0.0623,0.007,0.1789
eglise,1710-1720,1740-1750,960,1557,5703,0.0621,0.6618,0.2444
officier,1710-1720,1789-1802,622,3685,5700,0.062,0.4706,0.145
principe,1730-1740,1789-1802,2343,9444,5714,0.0619,0.3268,0.3433
inspirer,1700-1710,1789-1802,176,1754,5707,0.0618,0.4474,0.7382
épais,1720-1730,1789-1802,290,887,5702,0.0618,0.5163,0.6398
cause,1720-1730,1789-1802,7248,17445,5718,0.0616,0.7522,0.8091
composé,1720-1730,1750-1760,1232,2561,5715,0.0615,0.7478,0.8296
caché,1710-1720,1760-1770,452,1092,5707,0.0614,0.0076,0.0016
différence,1710-1720,1770-1780,664,7066,5711,0.0614,0.8016,0.3042
éternelle,1720-1730,1789-1802,452,1547,5707,0.0613,0.4054,0.7535
plante,1710-1720,1730-1740,912,500,5694,0.0612,0.7331,0.6363
injure,1700-1710,1780-1789,162,935,5704,0.0611,0.5351,0.2095
suivant,1730-1740,1789-1802,10237,14881,5718,0.0609,0.7452,0.8796
justesse,1720-1730,1789-1802,149,785,5697,0.0608,0.8631,0.3876
sujet,1710-1720,1740-1750,5004,7895,5717,0.0607,0.3424,0.2953
maximes,1710-1720,1789-1802,590,2132,5703,0.0607,0.6855,0.3742
officiers,1710-1720,1789-1802,5522,9841,5707,0.0606,0.689,0.7887
prétendre,1710-1720,1789-1802,601,1751,5702,0.0605,0.7247,0.6681
connais,1720-1730,1789-1802,197,1480,5642,0.0602,0.3598,0.2944
intentions,1700-1710,1789-1802,269,2829,5705,0.06,0.8249,0.8282
entreprendre,1710-1720,1789-1802,488,1078,5702,0.0599,0.1592,0.1355
vertu,1710-1720,1750-1760,3615,9827,5719,0.0598,0.524,0.3436
clairement,1720-1730,1770-1780,615,1832,5708,0.0597,0.3777,0.408
air,1710-1720,1750-1760,2070,6943,5717,0.0597,0.2701,0.3657
article,1710-1720,1720-1730,3874,3092,5715,0.0594,0.525,0.5694
attention,1710-1720,1760-1770,1011,5672,5717,0.0593,0.3983,0.2899
figures,1720-1730,1760-1770,1485,4566,5711,0.0593,0.5481,0.6364
couvertes,1700-1710,1770-1780,160,1409,5690,0.0592,0.8571,0.7024
commerce,1720-1730,1760-1770,6723,39805,5721,0.0591,0.8075,0.725
moins,1700-1710,1710-1720,11802,15621,5718,0.059,0.1637,0.294
nécessaires,1710-1720,1789-1802,878,7268,5716,0.0589,0.6933,0.7015
longue,1710-1720,1730-1740,1787,2614,5714,0.0588,0.1928,0.3241
volonté,1720-1730,1789-1802,1504,8681,5709,0.0586,0.6963,0.8131
repas,1710-1720,1760-1770,1164,1306,5708,0.0584,0.0721,0.0831
prince,1720-1730,1760-1770,11314,15357,5717,0.0583,0.322,0.555
arbres,1740-1750,1760-1770,3225,8136,5709,0.0583,0.7342,0.5681
divinité,1700-1710,1760-1770,490,2274,5705,0.0582,0.6087,0.3239
royaumes,1730-1740,1789-1802,686,1009,5682,0.058,0.7804,0.4475
contient,1720-1730,1730-1740,1122,1397,5711,0.0579,0.1262,0.5891
plutôt,1710-1720,1789-1802,1901,10940,5715,0.0578,0.1736,0.5132
trouverez,1700-1710,1750-1760,410,778,5696,0.0576,0.3977,0.5327
auroient,1700-1710,1710-1720,984,2163,5709,0.0571,0.8528,0.6805
argent,1720-1730,1740-1750,2821,2699,5715,0.057,0.6085,0.4406
commencement,1710-1720,1789-1802,1698,4283,5715,0.0569,0.6928,0.8531
temples,1710-1720,1740-1750,416,1155,5691,0.0569,0.1322,0.5048
commandoit,1710-1720,1730-1740,158,884,5673,0.0568,0.8363,0.6464
siecles,1700-1710,1750-1760,245,519,5669,0.0567,0.9473,0.5637
auteurs,1710-1720,1789-1802,1808,5068,5717,0.0565,0.6597,0.7745
écrits,1710-1720,1789-1802,474,3580,5707,0.0565,0.4742,0.6208
tempête,1710-1720,1789-1802,269,861,5702,0.0564,0.2669,0.561
rois,1710-1720,1730-1740,3307,6674,5712,0.0563,0.4759,0.6512
villes,1710-1720,1730-1740,3971,7131,5715,0.0562,0.6465,0.6555
auprès,1710-1720,1730-1740,2232,4625,5713,0.0561,0.1653,0.4712
tombe,1700-1710,1789-1802,627,3360,5714,0.056,0.4919,0.7307
côtes,1720-1730,1760-1770,581,3147,5694,0.0559,0.8629,0.5304
fix,1720-1730,1789-1802,5688,8416,5712,0.0558,0.2,0.96
noms,1720-1730,1789-1802,2129,6946,5717,0.0558,0.3342,0.5087
prends,1710-1720,1780-1789,405,2020,5693,0.0557,0.3791,0.3547
terres,1730-1740,1760-1770,4593,16005,5708,0.0556,0.9036,0.8252
apres,1720-1730,1780-1789,2411,2737,5696,0.0555,0.7144,0.3388
regardent,1700-1710,1789-1802,496,1036,5709,0.0554,0.7435,0.8822
condition,1710-1720,1789-1802,2256,5004,5712,0.0553,0.4884,0.6896
chaleur,1710-1720,1770-1780,758,7294,5710,0.0552,0.5802,0.3806
articles,1710-1720,1789-1802,1692,7016,5711,0.0551,0.2685,0.58
esprit,1720-1730,1750-1760,3737,7811,5720,0.0548,0.307,0.5349
voix,1720-1730,1730-1740,1917,3824,5714,0.0548,0.1933,0.1818
charmante,1710-1720,1789-1802,369,1768,5690,0.0547,0.4719,0.2796
sertile,1710-1720,1770-1780,231,1395,5683,0.0544,0.3362,0.743
portrait,1730-1740,1789-1802,1090,2443,5704,0.0542,0.1518,0.0749
honneurs,1710-1720,1789-1802,667,2593,5705,0.0541,0.6833,0.1288
