word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
visiter,1710-1720,1750-1760,449,400,5675,0.615,0.012,0.0187
délibération,1720-1730,1770-1780,326,1012,5681,0.614,0.6457,0.7296
contenir,1740-1750,1780-1789,1004,2289,5698,0.6134,0.3214,0.0866
offices,1710-1720,1740-1750,3307,1136,5706,0.6132,0.8729,0.9107
gouverner,1750-1760,1770-1780,1136,2299,5708,0.6132,0.1395,0.0619
thomas,1740-1750,1750-1760,1358,1537,5696,0.6121,0.4789,0.7325
froid,1780-1789,1789-1802,5660,3732,5713,0.6117,0.3039,0.1708
fermier,1730-1740,1789-1802,1126,1717,5679,0.6113,0.7222,0.6606
prêt,1710-1720,1760-1770,1323,3151,5712,0.6094,0.239,0.0742
dépit,1770-1780,1789-1802,1263,1205,5699,0.6093,0.1878,0.1567
accompagner,1700-1710,1710-1720,118,130,5693,0.6076,0.0963,0.0694
besoins,1740-1750,1780-1789,1258,6170,5703,0.6071,0.6778,0.6009
ouest,1740-1750,1770-1780,2091,844,5655,0.6069,0.8862,0.9226
paraît,1710-1720,1789-1802,301,3049,5681,0.606,0.2033,0.495
verte,1710-1720,1780-1789,558,1277,5687,0.6059,0.8001,0.9575
inutile,1750-1760,1770-1780,2935,4986,5716,0.6042,0.0701,0.0671
entendit,1730-1740,1750-1760,265,220,5678,0.6039,0.2778,0.2946
engagement,1720-1730,1760-1770,184,570,5693,0.6031,0.1645,0.328
dressé,1710-1720,1720-1730,241,226,5685,0.6027,0.3148,0.5109
employa,1720-1730,1730-1740,181,304,5678,0.6023,0.3579,0.177
attendu,1720-1730,1740-1750,570,1093,5705,0.6019,0.0607,0.3549
restoit,1700-1710,1730-1740,183,723,5690,0.6018,0.7754,0.5514
décrire,1700-1710,1710-1720,117,129,5695,0.6014,0.2888,0.1016
consentir,1780-1789,1789-1802,1097,1233,5690,0.6009,0.6439,0.1933
garder,1710-1720,1780-1789,1957,4826,5715,0.5996,0.3662,0.6996
trompé,1760-1770,1770-1780,1431,2272,5708,0.5995,0.0648,0.0141
repris,1730-1740,1770-1780,954,1275,5698,0.5987,0.6195,0.8504
exil,1710-1720,1750-1760,138,316,5693,0.5975,0.717,0.0583
faisant,1710-1720,1760-1770,3652,7137,5716,0.5961,0.6646,0.7223
disposer,1750-1760,1760-1770,1153,1611,5699,0.5958,0.1315,0.1953
commandé,1730-1740,1789-1802,427,732,5685,0.5949,0.311,0.3933
propose,1760-1770,1789-1802,2825,4537,5712,0.5944,0.3914,0.2679
manqué,1710-1720,1780-1789,546,2120,5707,0.5928,0.64,0.6201
ouvert,1710-1720,1730-1740,592,890,5709,0.5914,0.0855,0.0672
occuper,1750-1760,1780-1789,664,1721,5710,0.5906,0.5976,0.4182
bourgogne,1710-1720,1720-1730,1050,1882,5686,0.5902,0.9451,0.863
penser,1740-1750,1770-1780,3349,6133,5713,0.5861,0.3445,0.449
meilleures,1730-1740,1770-1780,575,1794,5701,0.5849,0.397,0.5452
recevoir,1700-1710,1720-1730,3024,3202,5719,0.583,0.0351,0.2675
grandeur,1720-1730,1750-1760,2106,4027,5714,0.5826,0.3154,0.4059
naples,1730-1740,1740-1750,1627,835,5692,0.5824,0.5408,0.7375
amener,1700-1710,1760-1770,217,547,5697,0.5805,0.2106,0.2775
parla,1750-1760,1770-1780,1076,1698,5698,0.5804,0.0553,0.0011
prononce,1720-1730,1750-1760,194,573,5698,0.579,0.2796,0.3965
entretenir,1710-1720,1720-1730,898,647,5711,0.578,0.0774,0.3648
auxquelles,1700-1710,1789-1802,238,3385,5711,0.5777,0.5884,0.7953
cachet,1710-1720,1789-1802,203,1030,5671,0.5763,0.6304,0.7095
aimant,1750-1760,1770-1780,233,524,5678,0.5742,0.2478,0.6537
renfermer,1700-1710,1710-1720,126,158,5696,0.5738,0.3246,0.0715
tendent,1730-1740,1789-1802,290,1026,5702,0.5736,0.8017,0.6933
dernière,1750-1760,1760-1770,1882,2349,5711,0.5732,0.2941,0.2076
monter,1720-1730,1770-1780,1114,3153,5708,0.5725,0.2205,0.2391
poste,1710-1720,1789-1802,371,3252,5695,0.5721,0.1698,0.1948
important,1750-1760,1780-1789,1610,3406,5714,0.5711,0.2723,0.1727
disons,1730-1740,1780-1789,352,738,5690,0.5702,0.1428,0.3611
croyons,1760-1770,1780-1789,959,2005,5701,0.5701,0.4827,0.3748
empereurs,1720-1730,1730-1740,865,1123,5683,0.57,0.8592,0.7312
suivantes,1730-1740,1740-1750,684,779,5692,0.5683,0.4644,0.4264
ruines,1740-1750,1760-1770,595,851,5688,0.5674,0.2297,0.0555
acquérir,1700-1710,1710-1720,134,120,5698,0.5664,0.4131,0.6222
caractères,1710-1720,1780-1789,279,1418,5705,0.5655,0.7052,0.3792
sanglante,1700-1710,1720-1730,74,93,5672,0.565,0.3034,0.2947
accepter,1710-1720,1760-1770,283,568,5698,0.5638,0.4159,0.413
commissaire,1710-1720,1780-1789,950,1975,5666,0.5632,0.599,0.6523
entrant,1720-1730,1750-1760,397,763,5698,0.5623,0.1562,0.4685
considérable,1740-1750,1750-1760,2046,2764,5710,0.5621,0.3208,0.3673
faisons,1720-1730,1770-1780,777,1817,5706,0.5611,0.7718,0.72
prie,1700-1710,1789-1802,1776,3516,5711,0.5601,0.8933,0.8451
rapporter,1750-1760,1789-1802,2237,2461,5712,0.5594,0.1714,0.3323
major,1700-1710,1720-1730,344,1054,5696,0.559,0.1575,0.4089
continué,1710-1720,1730-1740,246,374,5697,0.5588,0.2082,0.079
allez,1700-1710,1720-1730,1201,1307,5709,0.5579,0.0042,0.0098
foir,1710-1720,1730-1740,246,765,5678,0.5574,0.1816,0.9504
transporté,1710-1720,1720-1730,306,257,5692,0.5573,0.109,0.0971
présenté,1700-1710,1740-1750,144,883,5707,0.5568,0.5548,0.8236
raconter,1750-1760,1760-1770,510,428,5684,0.5562,0.0706,0.1156
voyage,1710-1720,1740-1750,1878,7547,5718,0.5559,0.2864,0.2654
glorieuse,1710-1720,1770-1780,243,544,5679,0.555,0.4017,0.1713
placer,1720-1730,1730-1740,493,980,5708,0.5541,0.0955,0.1386
adoucir,1710-1720,1720-1730,175,179,5699,0.5528,0.6623,0.2223
manquer,1740-1750,1789-1802,1753,2640,5713,0.5526,0.3042,0.2753
changea,1700-1710,1720-1730,222,287,5686,0.5524,0.4741,0.2062
occupent,1730-1740,1750-1760,195,451,5694,0.5519,0.5422,0.1268
achevé,1710-1720,1780-1789,432,1054,5699,0.5507,0.2461,0.0886
