word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
d'août,1730-1740,1780-1789,1006,1197,,0.0655,,
n'eurent,1750-1760,1789-1802,346,514,,0.0647,,
google,1730-1740,1780-1789,436,1214,,0.0646,,
m'avait,1700-1710,1760-1770,99,181,,0.0604,,
m'avoir,1710-1720,1740-1750,254,622,,0.0585,,
pourraient,1730-1740,1740-1750,104,110,,0.0579,,
l'avait,1730-1740,1740-1750,283,150,,0.0572,,
n'eit,1780-1789,1789-1802,721,441,,0.0531,,
m'eût,1700-1710,1710-1720,80,102,,0.053,,
l'avoient,1710-1720,1750-1760,314,802,,0.0528,,
n'auront,1700-1710,1720-1730,160,317,,0.0475,,
n'aurait,1720-1730,1730-1740,111,172,,0.0439,,
literature,1740-1750,1789-1802,114,1693,,0.041,,
n'aient,1710-1720,1740-1750,74,313,,0.0395,,
n'avois,1710-1720,1720-1730,247,412,,0.0377,,
n'eût,1710-1720,1730-1740,745,1562,,0.037,,
n'et,1700-1710,1720-1730,325,371,,0.0308,,
n'étaient,1700-1710,1720-1730,140,120,,0.0297,,
n'avaient,1700-1710,1730-1740,145,163,,0.0253,,
s'était,1740-1750,1750-1760,209,504,,0.0236,,
n'auroient,1700-1710,1740-1750,250,650,,0.0202,,
avaient,1710-1720,1720-1730,1761,652,,0.0174,,
n'ayent,1740-1750,1770-1780,450,419,,0.0173,,
n'eussent,1700-1710,1789-1802,108,809,,0.0131,,
