word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
mores,1740-1750,1750-1760,938,151,,0.9653,0.948,
vers,1730-1740,1770-1780,16132,31776,,0.9652,,
l'ap,1710-1720,1789-1802,101,504,,0.9651,,
repete,1720-1730,1750-1760,102,100,,0.965,0.4234,
l'opposition,1700-1710,1789-1802,74,735,,0.9649,,
jusqu'ici,1750-1760,1770-1780,915,1911,,0.9648,,
rele,1710-1720,1750-1760,92,130,,0.9647,0.4046,
charte,1770-1780,1789-1802,535,483,,0.9646,0.0627,
neutralité,1730-1740,1780-1789,119,446,,0.9646,0.2533,
encre,1710-1720,1730-1740,154,69,,0.9643,0.5742,
refuite,1740-1750,1789-1802,95,147,,0.9643,,
trille,1720-1730,1770-1780,108,303,,0.9641,0.6262,
l'ac,1710-1720,1730-1740,134,195,,0.9639,,
villa,1740-1750,1760-1770,851,362,,0.9639,0.906,
tranquile,1780-1789,1789-1802,205,154,,0.9637,0.4896,
phe,1710-1720,1730-1740,167,157,,0.9636,0.294,
bra,1710-1720,1770-1780,151,253,,0.9635,0.0797,
manier,1730-1740,1750-1760,209,284,,0.9633,0.1599,
taux,1700-1710,1780-1789,88,2026,,0.9632,0.9953,
esti,1710-1720,1720-1730,81,68,,0.9632,0.1885,
titube,1700-1710,1789-1802,63,345,,0.9629,0.2885,
coupa,1750-1760,1760-1770,185,215,,0.9628,0.0372,
chai,1700-1710,1750-1760,62,156,,0.9627,0.0677,
foret,1710-1720,1789-1802,75,261,,0.9626,0.9733,
d'âge,1750-1760,1770-1780,145,292,,0.9624,,
peupler,1740-1750,1789-1802,174,196,,0.9621,0.7246,
pouf,1740-1750,1789-1802,155,297,,0.9621,0.0718,
d'ordre,1700-1710,1710-1720,138,373,,0.962,,
just,1730-1740,1789-1802,73,528,,0.9619,0.9855,
superieur,1720-1730,1770-1780,443,93,,0.9618,,
sembla,1720-1730,1760-1770,149,390,,0.9618,0.0218,
resolution,1760-1770,1789-1802,84,157,,0.9617,,
sale,1720-1730,1780-1789,465,369,,0.9616,,
l'âge,1710-1720,1750-1760,623,1934,,0.9615,,
vides,1740-1750,1789-1802,107,318,,0.9614,0.996,
secondement,1700-1710,1720-1730,223,130,,0.9614,,
souver,1710-1720,1789-1802,156,1538,,0.9613,0.4585,
tragedie,1710-1720,1789-1802,499,106,,0.9612,,
contrit,1700-1710,1789-1802,58,946,,0.9611,0.5669,
leut,1710-1720,1750-1760,70,125,,0.9609,0.0858,
poit,1720-1730,1760-1770,101,172,,0.9608,,
tordre,1710-1720,1740-1750,152,222,,0.9607,0.8916,
afez,1700-1710,1730-1740,121,123,,0.9607,0.6883,
audi,1740-1750,1750-1760,253,108,,0.9606,0.4692,
refle,1710-1720,1730-1740,101,407,,0.9604,0.6399,
d'ignorance,1710-1720,1789-1802,337,356,,0.9604,,
tranquilles,1730-1740,1770-1780,196,664,,0.9601,0.1995,
plain,1700-1710,1730-1740,236,124,,0.96,0.6257,
repond,1710-1720,1740-1750,123,107,,0.96,,
cré,1700-1710,1760-1770,70,319,,0.9599,0.0149,
refie,1700-1710,1730-1740,79,151,,0.9598,0.4331,
ambroise,1720-1730,1789-1802,60,742,,0.9597,0.1845,
paro,1700-1710,1750-1760,238,294,,0.9597,,
d'hui,1710-1720,1770-1780,135,604,,0.9596,,
regner,1710-1720,1789-1802,169,161,,0.9595,,
tacher,1760-1770,1789-1802,177,232,,0.9593,,
