mot_cible,nb_ancres,ancres
aillent,10,"fassent, voyent, soient, prennent, vont, fissent, craignent, puisent, profitent, ignorent"
ailleurs,5,"autrement, déja, parlant, deja, cité"
aima,17,"j'aimerois, vaudroit, j'aime, aimé, aimoit, n'aime, aimant, valoit, aimait, aime, vaut, tâcha, crut, favoit, pensa, pouvoit, voulut"
aimable,11,"charmante, amoureux, charmant, belle, amant, agreable, agréable, galant, doux, nymphe, laide"
aimables,5,"concerts, nymphes, amants, agréables, amans"
aimait,18,"savait, voyait, trouvait, aimoit, tenait, disait, faisait, était, voulait, c'était, donnait, croyait, demandait, avait, parlait, l'avait, passait, aime"
aimant,10,"aime, j'aime, j'aimerois, aimé, aima, n'aime, l'amour, aiment, aimez, d'amour"
aime,12,"m'aime, j'aime, aimez, aimant, n'aime, adore, aimé, s'imagine, aimait, aimoit, j'aimerois, souhaite"
aiment,19,"plaisent, contentent, entendent, s'attachent, craignent, s'imaginent, vivent, n'aiment, jouent, profitent, ignorent, travaillent, trompent, mêlent, croyent, veulent, mangent, piquent, écrivent"
aimer,8,"admirer, l'amour, adorer, aime, préferer, oublier, aimant, aimons"
aimez,14,"m'aimez, vivez, étes, souvenez, apprenez, aime, savez, croyez, êtes, j'aime, parlez, favez, cherchez, montrez"
aimoit,16,"favoit, voyoit, aimait, souhaitoit, craignoit, faisoit, entendoit, prétendoit, croyoit, demandoit, connut, vouloit, regardoit, aima, parloit, aime"
aimons,25,"serions, regardons, soyons, foyons, jugeons, serons, vivons, entendons, demandons, recevons, ferions, sentons, savons, trouvons, tenons, aurons, cherchons, ferons, difons, trouverons, voulions, disons, irons, faisons, allions"
aimé,12,"j'aime, aimez, j'aimerois, aima, aime, souhaité, amoureux, aimant, connu, goûté, aimait, aimoit"
aimée,10,"affligée, persuadée, aimé, ravie, touchée, amoureux, mariée, charmante, laide, soeur"
ainli,4,"ainsi, dirc, sclon, licu"
ains,15,"pouir, refaits, scra, fairc, poir, delits, polr, ordonn, dudir, polir, icelle, d'icelle, icelles, saie, bailler"
ainsi,7,"ainli, autrement, comme, proprement, parce, tellement, clairement"
ainé,13,"aîné, bâtard, l'aîné, maternel, ayeul, pcre, robert, héritier, aînée, perc, cadet, unique, legitime"
aion,7,"ation, acquisition, adion, obligation, incommodité, convention, clause"
aions,9,"inclinations, qualite, actions, vertus, perfections, operations, manieres, choies, obligations"
airs,15,"éclats, concerts, cris, ondes, nymphes, visages, traits, amours, sombres, soupirs, bergers, instrumens, oiseaux, flots, rochers"
aise,19,"aife, fâché, étonné, ravi, surpris, persuadée, voudrois, ravie, étonnée, persuadé, informé, affligé, content, charmé, obligée, difficile, obligé, impatient, contenté"
