rank,word,drift_1789,drift_moyen
580,min,0.7104,0.6927
581,felle,0.7103,0.6650
582,rappel,0.7103,0.6881
583,deuil,0.7103,0.7356
584,linon,0.7103,0.6941
585,nager,0.7103,0.6937
586,xlvi,0.7103,0.6949
587,cepen,0.7100,0.7877
588,tan,0.7099,0.7274
589,papier,0.7099,0.6120
590,mages,0.7099,0.6439
591,reparer,0.7099,0.6686
592,solides,0.7098,0.6287
593,prompte,0.7096,0.6067
594,signa,0.7094,0.5759
595,bretagne,0.7092,0.6626
596,mmne,0.7092,0.7157
597,cendre,0.7090,0.5981
598,pâle,0.7090,0.6426
599,sf,0.7090,0.5731
600,l'ap,0.7086,0.7125
601,expressement,0.7085,0.5463
602,vôtre,0.7084,0.6995
603,nombre,0.7084,0.7514
604,ber,0.7082,0.6383
605,médiocre,0.7082,0.6357
606,rain,0.7081,0.7034
607,connétable,0.7081,0.5705
608,iij,0.7077,0.7194
609,vons,0.7075,0.5885
610,ajoutez,0.7075,0.7275
611,vale,0.7074,0.5837
612,minute,0.7070,0.6625
613,cloche,0.7070,0.6656
614,cois,0.7070,0.6087
615,s'appellent,0.7069,0.6597
616,habi,0.7069,0.6436
617,vn,0.7068,0.6524
618,tés,0.7068,0.6370
619,meur,0.7065,0.6450
620,blement,0.7064,0.7064
621,requiert,0.7064,0.7551
622,clement,0.7064,0.5542
623,murmure,0.7064,0.6551
624,regnent,0.7062,0.6900
625,vrir,0.7061,0.6858
626,entieres,0.7060,0.7053
627,acquerir,0.7060,0.5807
628,tués,0.7055,0.6770
629,traite,0.7054,0.6549
630,xx,0.7054,0.6636
631,provi,0.7053,0.6707
632,neuve,0.7052,0.6827
633,continuels,0.7050,0.6900
634,trésor,0.7049,0.6772
635,comptez,0.7049,0.6580
636,coutume,0.7049,0.6972
637,témoin,0.7046,0.7547
638,étran,0.7043,0.7125
639,reputation,0.7042,0.6101
640,reformer,0.7042,0.7757
641,particuliérement,0.7042,0.6503
642,set,0.7041,0.6256
643,ob,0.7041,0.6486
644,danses,0.7041,0.6960
645,prises,0.7040,0.6422
646,xix,0.7040,0.6903
647,courre,0.7038,0.6624
648,nouvel,0.7035,0.7505
649,ecclésiastique,0.7035,0.6709
650,civilement,0.7034,0.6262
651,ter,0.7031,0.6716
652,culier,0.7031,0.6911
653,nombreuse,0.7031,0.6997
654,def,0.7029,0.7013
655,propreté,0.7029,0.5775
656,lier,0.7029,0.7366
657,gence,0.7029,0.6276
658,royale,0.7028,0.6215
659,violé,0.7026,0.6202
660,gers,0.7026,0.6720
661,d'especes,0.7025,0.6960
662,nir,0.7025,0.6241
663,rotterdam,0.7024,0.5213
664,d'avec,0.7023,0.6947
665,cer,0.7022,0.6586
666,mesme,0.7021,0.6986
667,services,0.7019,0.5101
