word,modele,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,disponible
faculté,camembert,1720-1730,1740-1750,0.04889,0.95111,667,1335,5708,True
faculté,dalembert,1720-1730,1740-1750,0.04448,0.95552,667,1335,5708,True
cadix,camembert,1710-1720,1730-1740,0.014035,0.985965,174,131,5644,True
cadix,dalembert,1710-1720,1730-1740,0.030285,0.969715,174,131,5644,True
fran,camembert,1740-1750,1789-1802,0.028721,0.971279,1353,2706,5685,True
fran,dalembert,1740-1750,1789-1802,0.04077,0.95923,1353,2706,5685,True
vain,camembert,1730-1740,1770-1780,0.009805,0.990195,2281,4637,5712,True
vain,dalembert,1730-1740,1770-1780,0.020995,0.979005,2281,4637,5712,True
quelqu,camembert,1720-1730,1730-1740,0.01405,0.98595,202,143,5716,True
quelqu,dalembert,1720-1730,1730-1740,0.017833,0.982167,202,143,5716,True
reur,camembert,1700-1710,1730-1740,0.014447,0.985553,139,531,5672,True
reur,dalembert,1700-1710,1730-1740,0.029481,0.970519,139,531,5672,True
pren,camembert,1700-1710,1740-1750,0.019515,0.980485,309,674,5681,True
pren,dalembert,1700-1710,1740-1750,0.026061,0.973939,309,674,5681,True
perdre,camembert,1710-1720,1750-1760,0.012989,0.987011,2216,4393,5715,True
perdre,dalembert,1710-1720,1750-1760,0.016984,0.983016,2216,4393,5715,True
sortifier,camembert,1780-1789,1789-1802,0.00951,0.99049,1063,712,5684,True
sortifier,dalembert,1780-1789,1789-1802,0.026266,0.973734,1063,712,5684,True
der,camembert,1710-1720,1730-1740,0.010376,0.989624,843,2026,5714,True
der,dalembert,1710-1720,1730-1740,0.01675,0.98325,843,2026,5714,True
éloignée,camembert,1750-1760,1780-1789,0.01178,0.98822,726,1565,5701,True
éloignée,dalembert,1750-1760,1780-1789,0.020352,0.979648,726,1565,5701,True
nou,camembert,1720-1730,1780-1789,0.0151,0.9849,667,3386,5698,True
nou,dalembert,1720-1730,1780-1789,0.023721,0.976279,667,3386,5698,True
aus,camembert,1710-1720,1789-1802,0.020353,0.979647,346,587,5674,True
aus,dalembert,1710-1720,1789-1802,0.043562,0.956438,346,587,5674,True
égards,camembert,1710-1720,1750-1760,0.016826,0.983174,340,1279,5707,True
égards,dalembert,1710-1720,1750-1760,0.019559,0.980441,340,1279,5707,True
nient,camembert,1720-1730,1789-1802,0.014289,0.985711,158,797,5673,True
nient,dalembert,1720-1730,1789-1802,0.033943,0.966057,158,797,5673,True
tran,camembert,1710-1720,1789-1802,0.018221,0.981779,216,974,5673,True
tran,dalembert,1710-1720,1789-1802,0.021433,0.978567,216,974,5673,True
don,camembert,1700-1710,1770-1780,0.044274,0.955726,10241,6146,5717,True
don,dalembert,1700-1710,1770-1780,0.106092,0.893908,10241,6146,5717,True
diligence,camembert,1710-1720,1780-1789,0.023403,0.976597,783,2142,5693,True
diligence,dalembert,1710-1720,1780-1789,0.028594,0.971406,783,2142,5693,True
vôtre,camembert,1710-1720,1740-1750,0.040367,0.959633,5773,4440,5703,True
vôtre,dalembert,1710-1720,1740-1750,0.056825,0.943175,5773,4440,5703,True
taire,camembert,1770-1780,1789-1802,0.004348,0.995652,2803,3114,5707,True
taire,dalembert,1770-1780,1789-1802,0.009927,0.990073,2803,3114,5707,True
tois,camembert,1710-1720,1740-1750,0.027523,0.972477,219,655,5664,True
tois,dalembert,1710-1720,1740-1750,0.04801,0.95199,219,655,5664,True
fier,camembert,1700-1710,1720-1730,0.00616,0.99384,672,730,5705,True
fier,dalembert,1700-1710,1720-1730,0.013989,0.986011,672,730,5705,True
fauve,camembert,1720-1730,1760-1770,0.085364,0.914636,2103,525,5680,True
fauve,dalembert,1720-1730,1760-1770,0.154049,0.845951,2103,525,5680,True
pre,camembert,1730-1740,1770-1780,0.005612,0.994388,2171,4764,5714,True
pre,dalembert,1730-1740,1770-1780,0.020927,0.979073,2171,4764,5714,True
coutume,camembert,1700-1710,1710-1720,0.017972,0.982028,1172,1766,5709,True
coutume,dalembert,1700-1710,1710-1720,0.02129,0.97871,1172,1766,5709,True
conséquent,camembert,1700-1710,1789-1802,0.035538,0.964462,464,4791,5711,True
conséquent,dalembert,1700-1710,1789-1802,0.040506,0.959494,464,4791,5711,True
