word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
livre,1710-1720,1760-1770,0.776108,0.223892,6655,16042,5718,0.014328,0.985672,0.028631,0.971369
nier,1710-1720,1720-1730,0.773556,0.226444,536,647,5706,0.00466,0.99534,0.012837,0.987163
hautes,1720-1730,1789-1802,0.772598,0.227402,841,1548,5698,0.024223,0.975777,0.025365,0.974635
voulons,1700-1710,1710-1720,0.771498,0.228502,547,2228,5706,0.035461,0.964539,0.046007,0.953993
vons,1750-1760,1780-1789,0.771268,0.228732,443,785,5672,0.009217,0.990783,0.030471,0.969529
prévôt,1710-1720,1770-1780,0.770804,0.229196,711,655,5672,0.156129,0.843871,0.035659,0.964341
table,1740-1750,1770-1780,0.769692,0.230308,4003,8649,5720,0.006967,0.993033,0.0124,0.9876
pratique,1710-1720,1760-1770,0.76862,0.23138,1292,5008,5708,0.024157,0.975843,0.015362,0.984638
atteint,1770-1780,1780-1789,0.766312,0.233688,1095,1315,5700,0.007933,0.992067,0.013876,0.986124
innocent,1700-1710,1720-1730,0.765484,0.234516,380,395,5700,0.006488,0.993512,0.014856,0.985144
mariages,1750-1760,1770-1780,0.764895,0.235105,514,1539,5689,0.009984,0.990016,0.015821,0.984179
verront,1710-1720,1740-1750,0.762965,0.237035,632,515,5692,0.010292,0.989708,0.020392,0.979608
découverte,1730-1740,1740-1750,0.75984,0.24016,779,1523,5705,0.009973,0.990027,0.018425,0.981575
sacrifices,1760-1770,1789-1802,0.75692,0.24308,785,2412,5701,0.025746,0.974254,0.023115,0.976885
chef,1710-1720,1789-1802,0.756823,0.243177,1974,11201,5713,0.013206,0.986794,0.023107,0.976893
arrivant,1740-1750,1770-1780,0.754403,0.245597,911,707,5688,0.028077,0.971923,0.022237,0.977763
canons,1710-1720,1740-1750,0.750717,0.249283,325,998,5672,0.013293,0.986707,0.021915,0.978085
mauvaises,1750-1760,1760-1770,0.750548,0.249452,1270,1958,5704,0.021529,0.978471,0.017217,0.982783
veille,1730-1740,1740-1750,0.750143,0.249857,976,1115,5708,0.009383,0.990617,0.015362,0.984638
gardes,1700-1710,1710-1720,0.749766,0.250234,1141,2008,5704,0.011129,0.988871,0.02071,0.97929
juré,1700-1710,1710-1720,0.749608,0.250392,169,399,5686,0.010549,0.989451,0.022383,0.977617
chrétienne,1730-1740,1750-1760,0.747174,0.252826,892,1395,5688,0.016821,0.983179,0.027544,0.972456
marqué,1750-1760,1770-1780,0.746749,0.253251,1316,2156,5713,0.009521,0.990479,0.017729,0.982271
venise,1750-1760,1760-1770,0.745718,0.254282,1381,1585,5683,0.008336,0.991664,0.025843,0.974157
compter,1710-1720,1730-1740,0.742767,0.257233,1313,1930,5714,0.014506,0.985494,0.014525,0.985475
monnoie,1770-1780,1789-1802,0.742284,0.257716,3510,7673,5685,0.033331,0.966669,0.023817,0.976183
donnons,1710-1720,1730-1740,0.741916,0.258084,578,391,5694,0.028815,0.971185,0.039082,0.960918
compassion,1740-1750,1770-1780,0.741835,0.258165,436,774,5689,0.014603,0.985397,0.01604,0.98396
peur,1710-1720,1750-1760,0.741547,0.258453,2266,3058,5714,0.017151,0.982849,0.019483,0.980517
changé,1730-1740,1750-1760,0.740993,0.259007,1909,1163,5707,0.052975,0.947025,0.038659,0.961341
jésuites,1710-1720,1720-1730,0.740774,0.259226,407,291,5636,0.034728,0.965272,0.024912,0.975088
exercice,1710-1720,1750-1760,0.740331,0.259669,593,698,5707,0.017435,0.982565,0.019978,0.980022
chargé,1720-1730,1760-1770,0.737953,0.262047,1341,6126,5715,0.026769,0.973231,0.029665,0.970335
senti,1730-1740,1789-1802,0.7377,0.2623,733,2315,5712,0.010621,0.989379,0.019385,0.980615
convenu,1760-1770,1789-1802,0.737318,0.262682,1029,1638,5701,0.007351,0.992649,0.015714,0.984286
soulagement,1730-1740,1750-1760,0.735711,0.264289,235,564,5688,0.012759,0.987241,0.019328,0.980672
avoue,1710-1720,1789-1802,0.733908,0.266092,224,971,5709,0.027754,0.972246,0.018679,0.981321
simplement,1750-1760,1780-1789,0.733816,0.266184,1131,1926,5711,0.008211,0.991789,0.018523,0.981477
forêts,1720-1730,1760-1770,0.733433,0.266567,502,2039,5689,0.018244,0.981756,0.021947,0.978053
accoutumé,1720-1730,1789-1802,0.733024,0.266976,378,819,5700,0.053499,0.946501,0.038884,0.961116
tenu,1710-1720,1720-1730,0.731838,0.268162,2397,1502,5711,0.014053,0.985947,0.031384,0.968616
sainteté,1750-1760,1789-1802,0.729311,0.270689,727,799,5673,0.017582,0.982418,0.019195,0.980805
hiver,1730-1740,1750-1760,0.728907,0.271093,123,238,5700,0.035328,0.964672,0.026031,0.973969
voyant,1730-1740,1740-1750,0.727937,0.272063,3009,3024,5714,0.015557,0.984443,0.022071,0.977929
confié,1760-1770,1789-1802,0.727296,0.272704,618,1417,5692,0.010274,0.989726,0.016047,0.983953
cire,1720-1730,1789-1802,0.726933,0.273067,1070,1168,5696,0.053244,0.946756,0.069797,0.930203
published,1750-1760,1770-1780,0.726857,0.273143,697,1034,75,0.039782,0.960218,0.061966,0.938034
assura,1700-1710,1720-1730,0.726445,0.273555,58,58,5649,0.011343,0.988657,0.027927,0.972073
critiques,1760-1770,1789-1802,0.725495,0.274505,836,996,5706,0.009578,0.990422,0.011975,0.988025
