word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
pren,1700-1710,1740-1750,0.851128,0.148872,309,674,5681,0.019515,0.980485,0.026061,0.973939
perdre,1710-1720,1750-1760,0.850651,0.149349,2216,4393,5715,0.012989,0.987011,0.016984,0.983016
sortifier,1780-1789,1789-1802,0.850455,0.149545,1063,712,5684,0.00951,0.99049,0.026266,0.973734
der,1710-1720,1730-1740,0.849884,0.150116,843,2026,5714,0.010376,0.989624,0.01675,0.98325
éloignée,1750-1760,1780-1789,0.849847,0.150153,726,1565,5701,0.01178,0.98822,0.020352,0.979648
nou,1720-1730,1780-1789,0.848877,0.151123,667,3386,5698,0.0151,0.9849,0.023721,0.976279
aus,1710-1720,1789-1802,0.848487,0.151513,346,587,5674,0.020353,0.979647,0.043562,0.956438
égards,1710-1720,1750-1760,0.847935,0.152065,340,1279,5707,0.016826,0.983174,0.019559,0.980441
nient,1720-1730,1789-1802,0.84766,0.15234,158,797,5673,0.014289,0.985711,0.033943,0.966057
tran,1710-1720,1789-1802,0.846832,0.153168,216,974,5673,0.018221,0.981779,0.021433,0.978567
don,1700-1710,1770-1780,0.846789,0.153211,10241,6146,5717,0.044274,0.955726,0.106092,0.893908
diligence,1710-1720,1780-1789,0.846626,0.153374,783,2142,5693,0.023403,0.976597,0.028594,0.971406
vôtre,1710-1720,1740-1750,0.846403,0.153597,5773,4440,5703,0.040367,0.959633,0.056825,0.943175
taire,1770-1780,1789-1802,0.845912,0.154088,2803,3114,5707,0.004348,0.995652,0.009927,0.990073
tois,1710-1720,1740-1750,0.845684,0.154316,219,655,5664,0.027523,0.972477,0.04801,0.95199
fier,1700-1710,1720-1730,0.845661,0.154339,672,730,5705,0.00616,0.99384,0.013989,0.986011
fauve,1720-1730,1760-1770,0.845382,0.154618,2103,525,5680,0.085364,0.914636,0.154049,0.845951
pre,1730-1740,1770-1780,0.845059,0.154941,2171,4764,5714,0.005612,0.994388,0.020927,0.979073
coutume,1700-1710,1710-1720,0.843351,0.156649,1172,1766,5709,0.017972,0.982028,0.02129,0.97871
conséquent,1700-1710,1789-1802,0.843167,0.156833,464,4791,5711,0.035538,0.964462,0.040506,0.959494
