word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
prenoit,1700-1710,1789-1802,0.345013,0.654987,438,1133,5696
décembre,1700-1710,1710-1720,0.342354,0.657646,417,711,5690
venait,1740-1750,1750-1760,0.341963,0.658037,158,287,5640
seroit,1710-1720,1720-1730,0.340121,0.659879,1610,1502,5709
servoit,1720-1730,1740-1750,0.339875,0.660125,553,804,5694
faudroit,1700-1710,1710-1720,0.336057,0.663943,741,1017,5707
pourrai,1720-1730,1770-1780,0.333903,0.666097,181,956,5682
aisé,1700-1710,1780-1789,0.333531,0.666469,705,2852,5709
avais,1700-1710,1750-1760,0.332839,0.667161,76,73,5649
venoient,1700-1710,1740-1750,0.331178,0.668822,333,1373,5691
aient,1700-1710,1720-1730,0.330739,0.669261,328,804,5711
treize,1710-1720,1760-1770,0.329532,0.670468,603,1112,5699
audit,1700-1710,1710-1720,0.329096,0.670904,1422,4007,5683
retira,1740-1750,1770-1780,0.325091,0.674909,895,1267,5686
feroient,1700-1710,1710-1720,0.324942,0.675058,1144,3031,5705
ferois,1700-1710,1730-1740,0.324863,0.675137,443,833,5688
serait,1720-1730,1770-1780,0.324573,0.675427,829,2562,5674
quatrième,1710-1720,1720-1730,0.324289,0.675711,719,763,5714
août,1720-1730,1730-1740,0.323602,0.676398,595,1690,5700
devez,1700-1710,1720-1730,0.322776,0.677224,568,598,5701
devois,1700-1710,1710-1720,0.320314,0.679686,287,181,5672
trente,1710-1720,1720-1730,0.319825,0.680175,2665,3052,5715
février,1700-1710,1730-1740,0.318438,0.681562,674,1922,5690
revint,1710-1720,1740-1750,0.318413,0.681587,461,1151,5689
seront,1710-1720,1720-1730,0.317792,0.682208,1232,738,5702
trouveront,1700-1710,1710-1720,0.31478,0.68522,354,659,5697
serai,1700-1710,1720-1730,0.312884,0.687116,218,200,5673
purent,1710-1720,1730-1740,0.308707,0.691293,362,675,5686
serais,1750-1760,1770-1780,0.307911,0.692089,187,459,5544
voulurent,1700-1710,1750-1760,0.307477,0.692523,267,566,5688
octobre,1720-1730,1789-1802,0.306164,0.693836,781,4631,5690
aviez,1720-1730,1730-1740,0.305241,0.694759,234,713,5695
laissoit,1710-1720,1750-1760,0.305192,0.694808,198,600,5684
auraient,1720-1730,1730-1740,0.303844,0.696156,129,175,5674
faudra,1710-1720,1730-1740,0.303371,0.696629,687,775,5706
doive,1710-1720,1760-1770,0.301449,0.698551,304,1095,5705
seroient,1710-1720,1720-1730,0.300418,0.699582,453,416,5687
voudroient,1710-1720,1740-1750,0.29926,0.70074,316,460,5692
voudroit,1720-1730,1740-1750,0.29853,0.70147,639,1026,5703
pourront,1700-1710,1720-1730,0.296847,0.703153,1304,1712,5707
pourra,1700-1710,1710-1720,0.281388,0.718612,1928,2695,5715
