rank,word,drift_global,drift_moyen
682,qu'ily,0.7654,0.8089
683,qu'u,0.7653,0.5779
684,fia,0.7653,0.5471
685,commune,0.7653,0.7294
686,seindre,0.7652,0.6260
687,mercure,0.7652,0.7022
688,cier,0.7652,0.6627
689,cement,0.7651,0.6078
690,souverainement,0.7649,0.7323
691,gez,0.7647,0.6133
692,mul,0.7646,0.5937
693,d'exercice,0.7646,0.6498
694,l'hon,0.7646,0.7405
695,fabriquer,0.7645,0.6668
696,supprimer,0.7645,0.4781
697,sacri,0.7642,0.6297
698,aisez,0.7640,0.6540
699,ven,0.7636,0.6293
700,tariere,0.7636,0.5797
701,retardement,0.7636,0.6467
702,pal,0.7635,0.6903
703,barre,0.7635,0.6257
704,peti,0.7634,0.6333
705,quar,0.7633,0.5987
706,formant,0.7633,0.4986
707,orner,0.7632,0.5978
708,paf,0.7630,0.7255
709,pa,0.7629,0.7272
710,plit,0.7629,0.6819
711,dona,0.7629,0.5933
712,mne,0.7627,0.5978
713,plaute,0.7627,0.6197
714,var,0.7627,0.6208
715,diffi,0.7621,0.6566
716,ede,0.7620,0.5759
717,sie,0.7618,0.6058
718,mence,0.7618,0.7411
719,adoré,0.7616,0.6499
720,veau,0.7615,0.7201
721,tion,0.7614,0.7216
722,live,0.7612,0.6311
723,régulier,0.7611,0.5123
724,charte,0.7611,0.4855
725,pié,0.7609,0.5291
726,atre,0.7609,0.5624
727,pons,0.7608,0.5977
728,tendant,0.7606,0.6046
729,dç,0.7605,0.7095
730,lais,0.7605,0.6812
731,ob,0.7604,0.6486
732,propo,0.7603,0.6000
733,scn,0.7603,0.6548
734,celi,0.7602,0.6516
735,hauts,0.7602,0.7190
736,virginie,0.7600,0.6223
737,intérieurs,0.7599,0.5791
738,l'âge,0.7598,0.7938
739,garde,0.7597,0.6781
740,dig,0.7594,0.5315
741,touchez,0.7593,0.5037
742,d'état,0.7593,0.5954
743,tentation,0.7593,0.5685
744,diffus,0.7592,0.5972
745,fauve,0.7592,0.6025
746,necessairement,0.7592,0.5842
747,quent,0.7592,0.6191
748,refe,0.7590,0.6133
749,obli,0.7590,0.7306
750,d'action,0.7589,0.6125
751,verges,0.7589,0.4996
752,provi,0.7588,0.6707
753,traîner,0.7587,0.6567
754,fidéle,0.7586,0.5751
755,cant,0.7585,0.6830
756,sil,0.7585,0.6222
757,quoi,0.7585,0.5694
758,demandeurs,0.7585,0.4380
759,rap,0.7582,0.6114
760,condi,0.7582,0.6296
761,paré,0.7581,0.7253
762,alle,0.7581,0.6031
763,reduits,0.7579,0.5651
764,siéme,0.7579,0.6160
765,encre,0.7577,0.6289
766,d'effet,0.7577,0.7220
767,intérieure,0.7575,0.5158
768,signa,0.7575,0.5759
769,ny,0.7575,0.5552
770,ref,0.7572,0.6584
771,lifez,0.7571,0.6544
772,éc,0.7569,0.6622
773,hector,0.7568,0.5973
774,souhait,0.7567,0.6473
775,tans,0.7567,0.6847
776,réalité,0.7567,0.4757
777,populaire,0.7567,0.5626
778,neur,0.7566,0.6661
779,titans,0.7565,0.5907
780,reconnoissances,0.7561,0.6747
781,maurice,0.7560,0.5769
782,actuelle,0.7560,0.5512
783,déformais,0.7559,0.5883
784,té,0.7559,0.5937
785,finon,0.7558,0.6350
786,tere,0.7557,0.6352
787,d'ordre,0.7556,0.6580
788,pare,0.7556,0.5784
789,l'agriculture,0.7556,0.5202
790,jointe,0.7556,0.6830
791,lequelles,0.7555,0.6747
792,gene,0.7554,0.6668
793,gran,0.7554,0.6885
794,ay,0.7552,0.4939
795,tranquilité,0.7551,0.6558
796,applicable,0.7551,0.4647
797,noblement,0.7550,0.6365
798,abord,0.7548,0.5446
799,pin,0.7547,0.5446
800,entier,0.7547,0.7235
801,coit,0.7545,0.6256
802,refait,0.7544,0.6689
803,tances,0.7544,0.5317
804,bli,0.7541,0.6730
805,lau,0.7541,0.6333
806,l'épreuve,0.7540,0.5469
807,notamment,0.7540,0.4685
808,d'honneurs,0.7540,0.6759
809,nmais,0.7538,0.7166
810,gie,0.7537,0.6616
811,vj,0.7537,0.7285
812,vies,0.7536,0.6775
813,imais,0.7536,0.7104
814,travaillant,0.7535,0.6073
815,caprice,0.7534,0.6661
816,inon,0.7534,0.7006
817,secrettement,0.7533,0.5814
818,detail,0.7533,0.5900
819,vice,0.7532,0.5893
820,infaillibles,0.7531,0.5821
821,contrefaire,0.7529,0.6721
822,l'observation,0.7528,0.5264
823,franchement,0.7526,0.7367
824,mire,0.7525,0.6460
825,judiciaire,0.7525,0.5839
826,dispo,0.7523,0.6624
827,nommez,0.7522,0.4588
828,qu'ailleurs,0.7521,0.6843
829,fan,0.7519,0.6621
830,tem,0.7519,0.6523
831,ponr,0.7518,0.6861
832,franche,0.7516,0.6968
833,libertinage,0.7516,0.5189
834,parceque,0.7514,0.6192
835,refie,0.7514,0.5863
836,nota,0.7513,0.5629
837,rel,0.7513,0.6575
838,britannique,0.7512,0.5855
839,nons,0.7511,0.5686
840,franc,0.7511,0.6157
841,chant,0.7511,0.5457
842,crain,0.7508,0.5825
843,ter,0.7506,0.6716
844,cere,0.7505,0.6129
845,velles,0.7505,0.6756
846,mée,0.7504,0.6284
847,ence,0.7503,0.6139
848,seulement,0.7502,0.6403
849,ina,0.7502,0.5394
850,notables,0.7497,0.4821
851,mêmc,0.7497,0.7336
852,querir,0.7496,0.6383
853,neutre,0.7496,0.6507
854,ement,0.7495,0.6394
855,fue,0.7495,0.6123
856,rime,0.7495,0.6198
857,l'iniquité,0.7494,0.6438
858,palme,0.7493,0.5408
859,d'où,0.7493,0.7446
860,ciers,0.7492,0.6616
861,dance,0.7492,0.6349
862,vien,0.7491,0.6213
863,zemble,0.7489,0.6276
864,rout,0.7488,0.6485
865,pagine,0.7487,0.6218
866,vre,0.7487,0.7371
867,re,0.7487,0.6364
868,tierce,0.7487,0.6428
869,refuite,0.7486,0.6655
870,remede,0.7486,0.6332
871,triple,0.7485,0.5902
872,qu'o,0.7485,0.6446
873,qu'aujourd'hui,0.7484,0.6670
874,délivrance,0.7483,0.6732
875,aufl,0.7482,0.6282
876,enée,0.7482,0.6673
877,pie,0.7482,0.6322
878,mou,0.7481,0.6768
879,incertain,0.7481,0.6997
880,cré,0.7480,0.6492
881,qua,0.7478,0.6060
882,l'entreprise,0.7478,0.4964
883,confi,0.7477,0.6522
884,ménie,0.7476,0.7001
885,neurs,0.7475,0.7850
886,desa,0.7474,0.6934
887,érant,0.7474,0.7130
888,d'usage,0.7471,0.4784
